第15任總統副總統選舉候選人在新竹市各鄉(鎮、市、區)得票數一覽表,,,,,,,,,,,
鄉(鎮、市、區)別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
總　計,"14,103","102,725","144,274","261,102","3,423","264,525",8,"264,533","80,812","345,345",76.5973
　東區,"6,914","50,693","65,607","123,214","1,693","124,907",4,"124,911","36,003","160,914",77.6235
　北區,"4,685","35,256","50,702","90,643","1,147","91,790",4,"91,794","29,070","120,864",75.9449
　香山區,"2,504","16,776","27,965","47,245",583,"47,828",0,"47,828","15,739","63,567",75.2403
